"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,4,2,3,1,32442,400479640,32442,544740079,32442,400255868,32442,544776745
256,500,375,-2,"0.6",-1,1,4,2,3,2,32442,400465882,32442,400466510,32442,400255868,32442,544776745
256,500,375,-2,"0.6",-1,1,4,2,3,3,32442,400416085,32442,400416783,32442,400255868,32442,544776745
256,500,375,-2,"0.6",-1,1,4,2,3,4,32442,400467209,32442,400467977,32442,400255868,32442,544776745
256,500,375,-2,"0.6",-1,1,4,2,4,1,32442,631031111,32442,796956917,32442,630956729,32442,797014536
256,500,375,-2,"0.6",-1,1,4,2,4,2,32442,631002336,32442,631003454,32442,630956729,32442,797014536
256,500,375,-2,"0.6",-1,1,4,2,4,3,32442,631006038,32442,631007155,32442,630956729,32442,797014536
256,500,375,-2,"0.6",-1,1,4,2,4,4,32442,631001219,32442,631002895,32442,630956729,32442,797014536
256,500,375,-2,"0.6",-1,1,4,2,5,1,32442,882253753,32443,20079400,32442,882207936,32443,20115159
256,500,375,-2,"0.6",-1,1,4,2,5,2,32442,882281689,32442,882282318,32442,882207936,32443,20115159
256,500,375,-2,"0.6",-1,1,4,2,5,3,32442,882254870,32442,882255987,32442,882207936,32443,20115159
256,500,375,-2,"0.6",-1,1,4,2,5,4,32442,882251448,32442,882252565,32442,882207936,32443,20115159
256,500,375,-2,"0.6",-1,1,4,2,6,1,32443,110034115,32443,249477923,32443,109799377,32443,249525625
256,500,375,-2,"0.6",-1,1,4,2,6,2,32443,109980407,32443,109981524,32443,109799377,32443,249525625
256,500,375,-2,"0.6",-1,1,4,2,6,3,32443,109979150,32443,109979778,32443,109799377,32443,249525625
256,500,375,-2,"0.6",-1,1,4,2,6,4,32443,109980965,32443,109982083,32443,109799377,32443,249525625
256,500,375,-2,"0.6",-1,1,4,2,7,1,32443,360357126,32443,507476182,32443,360185595,32443,507517249
256,500,375,-2,"0.6",-1,1,4,2,7,2,32443,360411812,32443,360412441,32443,360185595,32443,507517249
256,500,375,-2,"0.6",-1,1,4,2,7,3,32443,360426269,32443,360426898,32443,360185595,32443,507517249
256,500,375,-2,"0.6",-1,1,4,2,7,4,32443,360410485,32443,360411044,32443,360185595,32443,507517249
256,500,375,-2,"0.6",-1,1,4,2,8,1,32443,599858593,32443,736986662,32443,599832403,32443,737028706
256,500,375,-2,"0.6",-1,1,4,2,8,2,32443,604033727,32443,604034355,32443,599832403,32443,737028706
256,500,375,-2,"0.6",-1,1,4,2,8,3,32443,599852936,32443,599854612,32443,599832403,32443,737028706
256,500,375,-2,"0.6",-1,1,4,2,8,4,32443,599857476,32443,599859781,32443,599832403,32443,737028706
256,500,375,-2,"0.6",-1,1,4,2,9,1,32443,839456930,32443,985434424,32443,839370536,32443,985469973
256,500,375,-2,"0.6",-1,1,4,2,9,2,32443,839474251,32443,839475019,32443,839370536,32443,985469973
256,500,375,-2,"0.6",-1,1,4,2,9,3,32443,839457768,32443,839458397,32443,839370536,32443,985469973
256,500,375,-2,"0.6",-1,1,4,2,9,4,32443,839481095,32443,839482771,32443,839370536,32443,985469973
256,500,375,-2,"0.6",-1,1,4,2,10,1,32444,105196646,32444,262355857,32444,105010518,32444,262391616
256,500,375,-2,"0.6",-1,1,4,2,10,2,32444,105184214,32444,105185052,32444,105010518,32444,262391616
256,500,375,-2,"0.6",-1,1,4,2,10,3,32444,105197274,32444,105197833,32444,105010518,32444,262391616
256,500,375,-2,"0.6",-1,1,4,2,10,4,32444,120042326,32444,120042954,32444,105010518,32444,262391616
256,500,375,-2,"0.6",-1,1,5,0,1,1,32444,412043060,32444,422593130,32444,411930056,32444,479968322
256,500,375,-2,"0.6",-1,1,5,0,1,2,32444,412044876,32444,458006756,32444,411930056,32444,479968322
256,500,375,-2,"0.6",-1,1,5,0,1,3,32444,412043688,32444,479925509,32444,411930056,32444,479968322
256,500,375,-2,"0.6",-1,1,5,0,1,4,32444,412049904,32444,458817059,32444,411930056,32444,479968322
256,500,375,-2,"0.6",-1,1,5,0,1,5,32444,468065909,32444,477248269,32444,411930056,32444,479968322
256,500,375,-2,"0.6",-1,1,5,0,2,1,32444,586735598,32444,594567570,32444,578346848,32444,650684845
256,500,375,-2,"0.6",-1,1,5,0,2,2,32444,578555674,32444,614299442,32444,578346848,32444,650684845
256,500,375,-2,"0.6",-1,1,5,0,2,3,32444,578531299,32444,632378581,32444,578346848,32444,650684845
256,500,375,-2,"0.6",-1,1,5,0,2,4,32444,616027604,32444,650650832,32444,578346848,32444,650684845
256,500,375,-2,"0.6",-1,1,5,0,2,5,32444,578531928,32444,586732804,32444,578346848,32444,650684845
256,500,375,-2,"0.6",-1,1,5,0,3,1,32444,744844655,32444,752482957,32444,744632057,32444,798051628
256,500,375,-2,"0.6",-1,1,5,0,3,2,32444,744859532,32444,779907327,32444,744632057,32444,798051628
256,500,375,-2,"0.6",-1,1,5,0,3,3,32444,744860090,32444,798014473,32444,744632057,32444,798051628
256,500,375,-2,"0.6",-1,1,5,0,3,4,32444,744867005,32444,780254370,32444,744632057,32444,798051628
256,500,375,-2,"0.6",-1,1,5,0,3,5,32444,768036133,32444,775670244,32444,744632057,32444,798051628
256,500,375,-2,"0.6",-1,1,5,0,4,1,32444,884951190,32444,892337293,32444,884896713,32444,954181722
256,500,375,-2,"0.6",-1,1,5,0,4,2,32444,893355934,32444,951751792,32444,884896713,32444,954181722
256,500,375,-2,"0.6",-1,1,5,0,4,3,32444,892339249,32444,944869596,32444,884896713,32444,954181722
256,500,375,-2,"0.6",-1,1,5,0,4,4,32444,884950072,32444,954144776,32444,884896713,32444,954181722
256,500,375,-2,"0.6",-1,1,5,0,4,5,32444,900031119,32444,907665789,32444,884896713,32444,954181722
256,500,375,-2,"0.6",-1,1,5,0,5,1,32445,40557611,32445,47946997,32445,40338658,32445,93104371
256,500,375,-2,"0.6",-1,1,5,0,5,2,32445,40535821,32445,82592575,32445,40338658,32445,93104371
256,500,375,-2,"0.6",-1,1,5,0,5,3,32445,40535192,32445,93069450,32445,40338658,32445,93104371
256,500,375,-2,"0.6",-1,1,5,0,5,4,32445,40558659,32445,75259202,32445,40338658,32445,93104371
256,500,375,-2,"0.6",-1,1,5,0,5,5,32445,56018387,32445,63649215,32445,40338658,32445,93104371
256,500,375,-2,"0.6",-1,1,5,0,6,1,32445,171634249,32445,179012880,32445,171600935,32445,231562713
256,500,375,-2,"0.6",-1,1,5,0,6,2,32445,171635646,32445,206006327,32445,171600935,32445,231562713
256,500,375,-2,"0.6",-1,1,5,0,6,3,32445,179014905,32445,231529538,32445,171600935,32445,231562713
256,500,375,-2,"0.6",-1,1,5,0,6,4,32445,171631386,32445,206331719,32445,171600935,32445,231562713
256,500,375,-2,"0.6",-1,1,5,0,6,5,32445,180047933,32445,187688399,32445,171600935,32445,231562713
256,500,375,-2,"0.6",-1,1,5,0,7,1,32445,313752991,32445,321153133,32445,313673512,32445,366365612
256,500,375,-2,"0.6",-1,1,5,0,7,2,32445,313752433,32445,348117736,32445,313673512,32445,366365612
256,500,375,-2,"0.6",-1,1,5,0,7,3,32445,313765284,32445,366324475,32445,313673512,32445,366365612
256,500,375,-2,"0.6",-1,1,5,0,7,4,32445,313773804,32445,348468830,32445,313673512,32445,366365612
256,500,375,-2,"0.6",-1,1,5,0,7,5,32445,344037168,32445,351880943,32445,313673512,32445,366365612
256,500,375,-2,"0.6",-1,1,5,0,8,1,32445,445452408,32445,452837603,32445,445322362,32445,498022425
256,500,375,-2,"0.6",-1,1,5,0,8,2,32445,445427195,32445,487468165,32445,445322362,32445,498022425
256,500,375,-2,"0.6",-1,1,5,0,8,3,32445,445443468,32445,497987713,32445,445322362,32445,498022425
256,500,375,-2,"0.6",-1,1,5,0,8,4,32445,445453455,32445,480164614,32445,445322362,32445,498022425
256,500,375,-2,"0.6",-1,1,5,0,8,5,32445,456036769,32445,463674093,32445,445322362,32445,498022425
256,500,375,-2,"0.6",-1,1,5,0,9,1,32445,583375483,32445,590760748,32445,583256752,32445,635926922
256,500,375,-2,"0.6",-1,1,5,0,9,2,32445,583391406,32445,617810697,32445,583256752,32445,635926922
256,500,375,-2,"0.6",-1,1,5,0,9,3,32445,583399997,32445,635919100,32445,583256752,32445,635926922
256,500,375,-2,"0.6",-1,1,5,0,9,4,32445,583376041,32445,618105219,32445,583256752,32445,635926922
256,500,375,-2,"0.6",-1,1,5,0,9,5,32445,628019311,32445,635666552,32445,583256752,32445,635926922
256,500,375,-2,"0.6",-1,1,5,0,10,1,32445,715501491,32445,722883963,32445,715456304,32445,784590734
256,500,375,-2,"0.6",-1,1,5,0,10,2,32445,715502748,32445,749906604,32445,715456304,32445,784590734
256,500,375,-2,"0.6",-1,1,5,0,10,3,32445,732020438,32445,784553997,32445,715456304,32445,784590734
256,500,375,-2,"0.6",-1,1,5,0,10,4,32445,715502050,32445,750180174,32445,715456304,32445,784590734
256,500,375,-2,"0.6",-1,1,5,0,10,5,32445,722885988,32445,730534137,32445,715456304,32445,784590734
256,500,375,-2,"0.6",-1,1,5,1,1,1,32445,872393906,32445,906259283,32445,872257925,32445,908886446
256,500,375,-2,"0.6",-1,1,5,1,1,2,32445,872407595,32445,905212007,32445,872257925,32445,908886446
256,500,375,-2,"0.6",-1,1,5,1,1,3,32445,872408154,32445,908855855,32445,872257925,32445,908886446
256,500,375,-2,"0.6",-1,1,5,1,1,4,32445,872415138,32445,905559819,32445,872257925,32445,908886446
256,500,375,-2,"0.6",-1,1,5,1,1,5,32445,906262775,32445,906263403,32445,872257925,32445,908886446
256,500,375,-2,"0.6",-1,1,5,1,2,1,32445,988746458,32446,25151626,32445,988560120,32446,25158959
256,500,375,-2,"0.6",-1,1,5,1,2,2,32445,988727531,32446,23862419,32445,988560120,32446,25158959
256,500,375,-2,"0.6",-1,1,5,1,2,3,32445,988745899,32446,21744052,32445,988560120,32446,25158959
256,500,375,-2,"0.6",-1,1,5,1,2,4,32446,21748941,32446,21749569,32445,988560120,32446,25158959
256,500,375,-2,"0.6",-1,1,5,1,2,5,32445,988753582,32446,21485289,32445,988560120,32446,25158959
256,500,375,-2,"0.6",-1,1,5,1,3,1,32446,104348352,32446,142945709,32446,104039721,32446,142980630
256,500,375,-2,"0.6",-1,1,5,1,3,2,32446,104358618,32446,139581856,32446,104039721,32446,142980630
256,500,375,-2,"0.6",-1,1,5,1,3,3,32446,104330123,32446,139218680,32446,104039721,32446,142980630
256,500,375,-2,"0.6",-1,1,5,1,3,4,32446,139224616,32446,139225315,32446,104039721,32446,142980630
256,500,375,-2,"0.6",-1,1,5,1,3,5,32446,112148756,32446,140881469,32446,104039721,32446,142980630
256,500,375,-2,"0.6",-1,1,5,1,4,1,32446,219506192,32446,253400483,32446,219430065,32446,257159570
256,500,375,-2,"0.6",-1,1,5,1,4,2,32446,219507519,32446,253606237,32446,219430065,32446,257159570
256,500,375,-2,"0.6",-1,1,5,1,4,3,32446,253405791,32446,253406420,32446,219430065,32446,257159570
256,500,375,-2,"0.6",-1,1,5,1,4,4,32446,219505075,32446,257128421,32446,219430065,32446,257159570
256,500,375,-2,"0.6",-1,1,5,1,4,5,32446,224042198,32446,254815056,32446,219430065,32446,257159570
256,500,375,-2,"0.6",-1,1,5,1,5,1,32446,352094762,32446,373926422,32446,336705993,32446,377306199
256,500,375,-2,"0.6",-1,1,5,1,5,2,32446,337025169,32446,373530769,32446,336705993,32446,377306199
256,500,375,-2,"0.6",-1,1,5,1,5,3,32446,337017696,32446,374584191,32446,336705993,32446,377306199
256,500,375,-2,"0.6",-1,1,5,1,5,4,32446,374589010,32446,374589639,32446,336705993,32446,377306199
256,500,375,-2,"0.6",-1,1,5,1,5,5,32446,336972020,32446,377274072,32446,336705993,32446,377306199
256,500,375,-2,"0.6",-1,1,5,1,6,1,32446,461671486,32446,495556977,32446,461391282,32446,498266763
256,500,375,-2,"0.6",-1,1,5,1,6,2,32446,461724217,32446,498258382,32446,461391282,32446,498266763
256,500,375,-2,"0.6",-1,1,5,1,6,3,32446,461715906,32446,494722858,32446,461391282,32446,498266763
256,500,375,-2,"0.6",-1,1,5,1,6,4,32446,461725265,32446,494467797,32446,461391282,32446,498266763
256,500,375,-2,"0.6",-1,1,5,1,6,5,32446,495560469,32446,495561098,32446,461391282,32446,498266763
256,500,375,-2,"0.6",-1,1,5,1,7,1,32446,583613186,32446,621338850,32446,583582316,32446,625041924
256,500,375,-2,"0.6",-1,1,5,1,7,2,32446,583612068,32446,623516722,32446,583582316,32446,625041924
256,500,375,-2,"0.6",-1,1,5,1,7,3,32446,604030413,32446,625004139,32446,583582316,32446,625041924
256,500,375,-2,"0.6",-1,1,5,1,7,4,32446,583610881,32446,621196443,32446,583582316,32446,625041924
256,500,375,-2,"0.6",-1,1,5,1,7,5,32446,621345624,32446,621346812,32446,583582316,32446,625041924
256,500,375,-2,"0.6",-1,1,5,1,8,1,32446,703822463,32446,736840939,32446,703790266,32446,740365149
256,500,375,-2,"0.6",-1,1,5,1,8,2,32446,703820088,32446,738763540,32446,703790266,32446,740365149
256,500,375,-2,"0.6",-1,1,5,1,8,3,32446,703818971,32446,736798755,32446,703790266,32446,740365149
256,500,375,-2,"0.6",-1,1,5,1,8,4,32446,703823022,32446,740267860,32446,703790266,32446,740365149
256,500,375,-2,"0.6",-1,1,5,1,8,5,32446,740272050,32446,740272679,32446,703790266,32446,740365149
256,500,375,-2,"0.6",-1,1,5,1,9,1,32446,822224867,32446,855260524,32446,822165431,32446,859440756
256,500,375,-2,"0.6",-1,1,5,1,9,2,32446,822223609,32446,859408838,32446,822165431,32446,859440756
256,500,375,-2,"0.6",-1,1,5,1,9,3,32446,822222492,32446,856118668,32446,822165431,32446,859440756
256,500,375,-2,"0.6",-1,1,5,1,9,4,32446,822242048,32446,855372550,32446,822165431,32446,859440756
256,500,375,-2,"0.6",-1,1,5,1,9,5,32446,855266391,32446,855267019,32446,822165431,32446,859440756
256,500,375,-2,"0.6",-1,1,5,1,10,1,32446,940484723,32446,979331485,32446,940369275,32446,982526321
256,500,375,-2,"0.6",-1,1,5,1,10,2,32446,940499949,32446,979382609,32446,940369275,32446,982526321
256,500,375,-2,"0.6",-1,1,5,1,10,3,32446,940484165,32446,982518848,32446,940369275,32446,982526321
256,500,375,-2,"0.6",-1,1,5,1,10,4,32446,979336793,32446,979337422,32446,940369275,32446,982526321
256,500,375,-2,"0.6",-1,1,5,1,10,5,32446,964031834,32446,980351034,32446,940369275,32446,982526321
256,500,375,-2,"0.6",-1,1,5,2,1,1,32447,67203381,32447,204126532,32447,67068587,32447,204162640
256,500,375,-2,"0.6",-1,1,5,2,1,2,32447,67226569,32447,67227127,32447,67068587,32447,204162640
256,500,375,-2,"0.6",-1,1,5,2,1,3,32447,67217769,32447,67218327,32447,67068587,32447,204162640
256,500,375,-2,"0.6",-1,1,5,2,1,4,32447,67201915,32447,67202543,32447,67068587,32447,204162640
256,500,375,-2,"0.6",-1,1,5,2,1,5,32447,67205127,32447,67205686,32447,67068587,32447,204162640
256,500,375,-2,"0.6",-1,1,5,2,2,1,32447,290686383,32447,427529147,32447,290541951,32447,427565534
